"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA"
1,"V330363_L2_1_C.jpg",NA,567.1192,0,NA,0,0,NA,0,1,125.9365,0,0,0,0,0,5,144.8862,0,NA,NA,0,NA,NA,NA,NA,NA,0
2,"V330363_L2_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,692.4334,0
3,"V330363_L2_1_P.jpg",4858.5405,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0
4,"V330363_L2_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,11,9,18,11,0,NA,0,NA,NA,0,169.7528,467.2387,632.5219,127.2792,723.7928,0
5,"V330365_L4_1_C.jpg",2205.1,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,75.7694,692.0759,0
6,"V330365_L4_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,65.7647,0,0,0,15,9,4,NA,0,NA,NA,0,NA,NA,NA,NA,702.282,0
7,"V330385_L25_1_C.jpg",NA,NA,0,NA,1,1,196.8248,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,700.1028,0
8,"V330385_L25_1_P.jpg",NA,456.8007,0,NA,0,0,NA,0,0,NA,0,0,0,0,13,0,NA,0,NA,NA,0,187.8404,421.0855,392.4296,NA,704.1023,NA
9,"V330388_L28_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,697.0796,0
10,"V330388_L28_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,701.5412,0
