n,ID,SL,CAV,MDS1,DS1,MDS1NA,MDS2,DS2,MDS2NA,MDS3,DS3,MDS3NA,MDF,MAF,MCV,MAV,MPT,LPT,MPSP,PSP-L,PSP-R,MPSPNA,TPG,ECT,CLE,PMX,Scale_10mm
1,V330363_L2_1_C.jpg,,567.1192,0,,0,0,,0,1,125.9365,0,0,0,0,0,5,144.8862,0,,,0,,,,,
2,V330363_L2_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,692.4334
3,V330363_L2_1_P.jpg,4858.5405,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,
4,V330363_L2_1_P.jpg,,,0,,0,0,,0,0,,0,11,9,18,11,0,,0,,,0,169.7528,467.2387,632.5219,127.2792,723.7928
5,V330365_L4_1_C.jpg,2205.1,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,75.7694,692.0759
6,V330365_L4_1_P.jpg,,,0,,0,0,,0,1,65.7647,0,0,0,15,9,4,,0,,,0,,,,,702.282
7,V330385_L25_1_C.jpg,,,0,,1,1,196.8248,0,0,,1,0,0,0,0,0,,0,,,0,,,,,700.1028
8,V330385_L25_1_P.jpg,,456.8007,0,,0,0,,0,0,,0,0,0,0,13,0,,0,,,0,187.8404,421.0855,392.4296,,704.1023
9,V330388_L28_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,697.0796
10,V330388_L28_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,701.5412
11,V330390_L30_1_C.jpg,,527.0319,0,,0,0,,0,0,,0,0,0,16,14,5,55.1725,2,286.531,274.4668,0,644.6984,537.3863,432.1342,,690.8835
12,V330390_L30_1_P.jpg,4194.0043,,0,,0,1,329.12,0,1,210.2189,0,7,7,0,0,0,,0,,,0,,,,123.3694,712.1798
13,V330391_L31_1_P.jpg,4748.5864,566.9275,0,,0,0,,0,0,,0,10,8,17,12,4,130.0615,0,,,0,,647.299,608.9105,102.489,689.362
14,V330392_L32_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,692.4738
